date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:10:52	30772/30772	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2015-09-NN-Types-FP/	colah.github.io/posts/2015-09-NN-Types-FP/index.html	(from http://colah.github.io/)
21:11:07	99070/99070	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunrm.eot?	colah.github.io/fonts/Serif/cmunrmd41d.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:14	123340/123340	---M--	200	added ('OK')	application/font-woff	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunrm.woff	colah.github.io/fonts/Serif/cmunrm.woff	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:16	36370/36370	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunrm.svg	colah.github.io/fonts/Serif/cmunrm.svg	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:34	97252/97252	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbx.eot	colah.github.io/fonts/Serif/cmunbx.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:48	235656/235656	---M--	200	added ('OK')	font/ttf	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunrm.ttf	colah.github.io/fonts/Serif/cmunrm.ttf	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:50	1258604/1258604	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-FFN-Graphs-Vis/img/graph-HP-ships-labeled.png	colah.github.io/posts/2014-07-FFN-Graphs-Vis/img/graph-HP-ships-labeled.png	(from http://colah.github.io/)
21:11:52	97252/97252	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbx.eot?	colah.github.io/fonts/Serif/cmunbxd41d.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:11:52	28513/28513	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2015-08-Understanding-LSTMs/	colah.github.io/posts/2015-08-Understanding-LSTMs/index.html	(from http://colah.github.io/)
21:11:54	24328/24328	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-Conv-Nets-Modular/	colah.github.io/posts/2014-07-Conv-Nets-Modular/index.html	(from http://colah.github.io/)
21:11:56	34194/34194	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbx.svg	colah.github.io/fonts/Serif/cmunbx.svg	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:12	120936/120936	---M--	200	added ('OK')	application/font-woff	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbx.woff	colah.github.io/fonts/Serif/cmunbx.woff	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:21	128940/128940	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunti.eot	colah.github.io/fonts/Serif/cmunti.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:33	221904/221904	---M--	200	added ('OK')	font/ttf	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbx.ttf	colah.github.io/fonts/Serif/cmunbx.ttf	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:34	48861/48861	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunti.svg	colah.github.io/fonts/Serif/cmunti.svg	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:40	158668/158668	---M--	200	added ('OK')	application/font-woff	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunti.woff	colah.github.io/fonts/Serif/cmunti.woff	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:12:57	123872/123872	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbi.eot	colah.github.io/fonts/Serif/cmunbi.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:13:08	155676/155676	---M--	200	added ('OK')	application/font-woff	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbi.woff	colah.github.io/fonts/Serif/cmunbi.woff	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:13:09	49319/49319	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbi.svg	colah.github.io/fonts/Serif/cmunbi.svg	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:13:11	289276/289276	---M--	200	added ('OK')	font/ttf	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunti.ttf	colah.github.io/fonts/Serif/cmunti.ttf	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:13:11	26307/26307	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-07-Understanding-Convolutions/	colah.github.io/posts/2014-07-Understanding-Convolutions/index.html	(from http://colah.github.io/)
21:13:12	32452/32452	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2014-12-Groups-Convolution/	colah.github.io/posts/2014-12-Groups-Convolution/index.html	(from http://colah.github.io/)
21:13:30	108475/108475	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif-Slanted/cmunsl.eot	colah.github.io/fonts/Serif-Slanted/cmunsl.eot	(from http://colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css)
21:13:35	137456/137456	---M--	200	added ('OK')	application/font-woff	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif-Slanted/cmunsl.woff	colah.github.io/fonts/Serif-Slanted/cmunsl.woff	(from http://colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css)
21:13:36	41266/41266	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif-Slanted/cmunsl.svg	colah.github.io/fonts/Serif-Slanted/cmunsl.svg	(from http://colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css)
21:13:46	285096/285096	---M--	200	added ('OK')	font/ttf	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunbi.ttf	colah.github.io/fonts/Serif/cmunbi.ttf	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:13:56	106711/106711	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif-Slanted/cmunbl.eot	colah.github.io/fonts/Serif-Slanted/cmunbl.eot	(from http://colah.github.io/fonts/Serif-Slanted/cmun-serif-slanted.css)
